TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,11,405,63,65,1161,0,0,0,597,285,1225,154,302,302,285,0,63,0,62,0,0,63,0,78,18,122,133,579,0,0,62,223,256,11,268,1371,0,50,496,212,36,0,226,0,0,516,846,661,1471,36,0,0,252,700,261,0,63,
11,13,442,63,68,1209,0,0,0,632,290,1172,151,333,333,290,0,63,0,65,0,0,88,0,79,9,121,134,699,0,0,65,225,205,13,327,1382,0,63,465,274,9,0,247,0,0,598,714,616,1293,18,0,0,270,741,279,0,95,
32,11,372,61,61,1145,0,0,0,564,293,1202,156,280,280,293,0,61,0,63,0,0,134,0,80,8,109,118,578,0,0,63,230,248,11,312,1381,0,60,529,200,16,0,216,0,0,555,846,702,1445,16,0,0,220,656,244,0,178,
21,19,452,66,62,1145,0,0,0,624,286,1169,153,311,311,286,0,66,0,65,0,0,56,0,60,0,109,124,655,0,0,65,221,254,19,313,1330,0,54,491,259,0,0,191,0,0,533,745,637,1320,0,0,0,257,765,282,0,48,
31,14,410,66,65,1114,0,0,0,513,292,1176,155,286,286,292,0,66,0,61,0,0,96,0,68,0,122,136,635,0,0,61,231,240,14,319,1316,0,80,500,257,0,0,214,0,0,555,828,670,1402,0,0,0,206,637,272,0,112,
22,15,461,61,68,1128,0,0,0,623,282,1233,151,300,300,282,0,61,0,61,0,0,95,0,126,6,117,128,601,0,0,61,221,214,15,271,1316,0,46,512,241,12,0,219,0,0,553,875,664,1514,12,0,0,254,784,215,0,87,
2,16,426,62,67,1248,0,0,0,641,290,1248,151,322,322,290,0,62,0,67,0,0,51,0,62,0,113,129,745,0,0,67,223,169,16,323,1465,0,56,516,315,0,0,219,0,0,614,790,639,1446,0,0,0,266,745,295,0,58,
12,12,460,61,62,1160,0,0,0,604,284,1172,154,300,300,284,0,61,0,63,0,0,53,0,88,5,123,135,660,0,0,63,221,273,12,307,1364,0,59,498,255,10,0,198,0,0,546,818,649,1395,10,0,0,241,764,257,0,68,
52,15,365,61,68,1170,0,0,0,568,284,1243,156,286,286,284,0,61,0,61,0,0,32,0,34,1,121,136,690,0,0,61,223,222,15,305,1402,0,30,517,287,2,0,238,0,0,613,778,660,1420,2,0,0,256,647,289,0,40,
61,11,472,61,63,1209,0,0,0,677,288,1240,154,336,336,288,0,61,0,65,0,0,41,0,71,18,107,108,572,0,0,65,223,240,11,207,1375,0,47,456,167,47,0,275,0,0,572,850,624,1493,47,0,0,289,813,191,0,64,
62,15,434,66,64,1080,0,0,0,531,287,1195,154,287,287,287,0,66,0,66,0,0,50,0,81,8,119,127,707,0,0,66,221,260,15,329,1260,0,98,477,283,16,0,209,0,0,601,814,701,1412,16,0,0,189,678,264,0,74,
42,14,407,61,66,1165,0,0,0,604,296,1171,151,307,307,296,0,61,0,67,0,0,71,0,63,8,100,114,591,4,0,67,229,253,14,314,1339,0,46,471,242,4,0,197,0,0,510,798,666,1375,8,0,0,261,704,281,0,85,
51,12,372,66,63,1095,0,0,0,476,283,1151,154,254,254,283,0,66,0,61,0,0,41,0,61,0,119,139,635,0,0,61,222,302,12,260,1300,0,63,490,216,0,0,191,0,0,561,835,768,1386,0,0,0,191,594,210,0,71,
72,20,504,64,65,1206,0,0,0,560,289,1207,160,309,309,289,0,64,0,64,0,0,65,0,65,9,129,155,681,0,0,64,225,215,20,331,1396,0,108,483,250,18,0,238,0,0,605,816,640,1430,18,0,0,201,755,278,0,103,
71,17,382,68,63,1177,0,0,0,574,294,1214,151,296,296,294,0,68,0,71,0,0,71,0,89,0,123,140,661,0,0,71,223,214,17,315,1396,0,35,515,238,0,0,199,0,0,572,802,649,1417,0,0,0,261,660,280,0,101,
102,17,457,62,70,1172,0,0,0,595,288,1153,155,300,300,288,0,62,0,61,0,0,96,0,94,0,132,159,705,0,0,61,227,238,17,342,1364,0,74,482,261,0,0,179,0,0,548,796,677,1352,0,0,0,226,752,278,0,139,
101,12,402,65,63,1217,0,0,0,534,296,1216,152,290,290,296,0,65,0,71,0,0,143,0,143,13,118,130,586,0,0,71,225,218,12,324,1469,0,77,550,241,26,0,176,0,0,482,777,670,1395,26,0,0,213,646,240,0,144,
91,13,417,61,68,1194,0,0,0,577,292,1190,155,300,300,292,0,61,0,70,0,0,99,0,92,0,117,112,599,0,0,70,222,208,13,295,1392,0,62,490,252,0,0,193,0,0,511,767,698,1358,0,0,0,238,694,262,0,105,
92,15,371,62,65,1178,0,0,0,597,284,1249,155,298,298,284,0,62,0,62,0,0,71,0,82,0,120,135,774,0,0,62,222,232,15,297,1380,0,30,500,261,9,0,244,0,0,697,841,664,1490,9,0,0,268,670,218,0,102,
81,12,386,61,61,1202,0,0,0,589,297,1195,156,298,298,297,0,61,0,71,0,0,46,0,20,0,91,101,711,0,0,71,226,226,12,296,1431,0,22,540,251,0,0,252,0,0,670,752,681,1349,0,0,0,276,677,239,0,55,
82,14,492,68,64,1198,0,0,0,667,292,1237,152,337,337,292,0,68,0,68,0,0,102,0,132,0,128,142,727,0,0,68,224,220,14,322,1363,0,69,460,261,0,0,215,0,0,637,865,599,1505,0,0,0,268,822,251,0,125,
