TRIALNO,Tunis,Belgrade,Tripoli,Benghazi,Ankara,Izmir,Athens,Thessaloniki,Istanbul,Van,Damascus,Baghdad,Vienna,Budapest,Tehran,Lampedusa,Malta,Skopje,Zahedan,Lesbos,Chios,Frankfurt,Hamburg,Munich,Zagreb,Pozzallo,Rome,Milan,Graz,Samos,Quetta,Herat,Calabria,Cagliari,Paris,Gaziantep,Gevgelija,Roszke,Mersin,Lyon,Gjirokastra,Patras,Igoumenitsa,Brindisi,Bari,Ancona,Alexandria,Crete,Amman,Podgorica,Copenhagen,Stockholm,Bucharest,Sofia,London,Brussels,Luxembourg,
1,13,426,71,61,1236,0,0,0,600,290,1212,154,314,314,290,0,71,0,67,0,0,43,0,81,18,120,127,725,0,0,67,223,226,13,312,1437,0,69,506,275,18,0,228,0,0,645,809,636,1424,27,0,0,245,712,252,0,68,
102,14,411,63,67,1218,0,0,0,586,288,1235,154,292,292,288,0,63,0,67,0,0,58,0,46,0,124,138,805,0,0,67,221,200,14,288,1458,0,57,530,262,0,0,233,0,0,696,776,659,1411,0,0,0,235,705,235,0,71,
2,11,446,65,65,1144,0,0,0,580,291,1190,157,303,309,291,0,65,0,69,0,0,98,0,66,0,123,142,699,0,0,69,222,266,11,312,1343,0,60,492,265,0,0,233,0,0,640,757,602,1349,0,0,0,246,720,265,0,95,
101,11,403,64,62,1117,0,0,0,536,286,1223,151,286,286,286,0,64,0,65,0,0,58,0,74,8,101,112,637,0,0,65,221,236,11,284,1324,0,52,495,246,16,0,202,0,0,568,849,680,1480,16,0,0,234,653,253,0,72,
201,14,433,61,64,1125,0,0,0,532,285,1201,159,274,274,285,0,61,0,61,0,0,92,0,113,0,113,127,667,0,0,61,224,244,14,288,1345,0,54,506,266,0,0,139,0,0,517,769,732,1366,0,0,0,220,691,244,0,79,
302,18,432,67,66,1201,0,0,0,593,284,1275,158,304,304,284,0,67,0,63,0,0,26,0,73,0,108,126,655,0,0,63,221,217,18,287,1417,0,36,502,250,0,0,216,0,0,607,826,665,1496,0,0,0,268,721,258,0,55,
301,12,472,65,63,1179,0,0,0,580,283,1226,156,283,283,283,0,65,0,62,0,0,97,0,105,0,128,146,572,0,0,62,221,220,12,267,1431,0,87,544,202,0,0,163,0,0,491,757,658,1386,0,0,0,196,770,236,0,91,
401,11,367,64,61,1125,0,0,0,519,286,1202,153,261,261,286,0,64,0,62,0,0,59,0,81,0,96,99,605,0,0,62,224,274,11,264,1323,0,65,494,226,0,0,182,0,0,486,884,698,1488,0,0,0,196,625,223,0,69,
402,14,402,62,61,1140,0,0,0,595,288,1198,155,294,296,288,0,62,0,66,0,0,97,0,109,0,111,125,686,0,0,66,222,247,14,324,1330,0,31,493,254,0,0,191,0,0,589,832,671,1430,0,0,0,264,702,242,0,115,
501,16,397,65,64,1119,0,0,0,623,286,1200,152,301,301,286,0,65,0,64,0,0,95,0,62,0,113,127,669,0,0,64,222,236,16,369,1289,0,16,456,267,0,0,218,0,0,617,857,662,1460,0,0,0,285,719,289,0,160,
502,13,389,70,65,1170,0,0,0,584,288,1172,151,309,309,288,0,70,0,62,0,0,60,0,51,0,110,123,700,0,0,62,226,305,13,361,1300,0,40,421,269,0,0,207,0,0,569,873,634,1452,0,0,0,269,664,281,0,106,
601,12,416,68,62,1173,0,0,0,564,286,1246,161,301,301,286,0,68,0,65,0,0,44,0,61,0,112,124,717,0,0,65,221,227,12,215,1375,0,74,490,208,7,0,287,0,0,708,841,693,1480,7,0,0,227,679,187,0,35,
602,11,454,66,65,1171,0,0,0,559,282,1149,151,301,301,282,0,66,0,61,0,0,72,0,87,0,123,134,648,0,0,61,221,212,11,309,1361,0,70,474,242,0,0,202,0,0,584,740,647,1297,0,0,0,231,712,255,0,89,
701,14,402,64,65,1118,0,0,0,557,288,1188,151,285,285,288,0,64,0,64,0,0,77,0,105,0,130,142,670,0,0,64,224,241,14,287,1303,0,46,488,261,0,0,171,0,0,528,869,693,1460,0,0,0,239,674,240,0,77,
802,11,448,65,65,1200,0,0,0,640,291,1258,154,329,329,291,0,65,0,64,0,0,101,0,93,0,97,106,691,0,0,64,227,207,11,302,1407,0,70,506,237,0,0,241,0,0,632,784,636,1442,0,0,0,259,759,247,0,99,
801,15,378,61,63,1134,0,0,0,580,285,1183,155,301,301,285,0,61,0,61,0,0,126,0,123,0,117,132,684,0,0,61,224,290,15,318,1303,0,58,463,259,0,0,224,0,0,619,820,665,1400,0,0,0,243,657,223,0,147,
902,15,383,62,65,1121,0,0,0,591,286,1196,151,290,290,286,0,62,0,63,0,0,44,0,90,0,127,142,583,0,0,63,223,221,15,256,1322,0,37,494,217,0,0,183,0,0,496,743,666,1343,0,0,0,253,673,256,0,34,
901,17,405,64,62,1166,0,0,0,554,288,1234,151,283,283,288,0,64,0,64,0,0,54,0,45,0,128,141,690,0,0,64,227,251,17,326,1370,0,75,503,267,0,0,206,0,0,598,861,722,1500,0,0,0,208,676,293,0,74,
1001,15,423,67,64,1124,0,0,0,559,285,1208,151,295,295,285,0,67,0,61,0,0,96,0,116,0,115,134,637,0,0,61,224,229,15,290,1321,0,59,484,240,0,0,198,0,0,543,849,653,1458,0,0,0,236,687,249,0,100,
1002,18,398,63,63,1143,0,0,0,561,286,1196,156,284,284,286,0,63,0,65,0,0,45,0,73,0,88,106,632,0,0,65,221,253,18,262,1364,0,58,508,219,0,0,220,0,0,589,770,707,1359,0,0,0,226,675,228,0,67,
